邊緣運算  ㄅㄧㄢˉㄩㄢˊㄩㄣˋㄙㄨㄢˋ
公募基金  ㄍㄨㄥˉㄇㄨˋㄐㄧˉㄐㄧㄣˉ
私募基金  ㄙˉㄇㄨˋㄐㄧˉㄐㄧㄣˉ
權證避險  ㄑㄩㄢˊㄓㄥˋㄅㄧˋㄒㄧㄢˇ
可轉債  ㄎㄜˇㄓㄨㄢˇㄓㄞˋ
無擔保公司債  ㄨˊㄉㄢˉㄅㄠˇㄍㄨㄥˉㄙˉㄓㄞˋ
現增認股  ㄒㄧㄢˋㄗㄥˉㄖㄣˋㄍㄨˇ
減資彌補虧損  ㄐㄧㄢˇㄗˉㄇㄧˊㄅㄨˇㄎㄨㄟˉㄙㄨㄣˇ
現金減資  ㄒㄧㄢˋㄐㄧㄣˉㄐㄧㄢˇㄗˉ
庫藏股買回  ㄎㄨˋㄘㄤˊㄍㄨˇㄇㄞˇㄏㄨㄟˊ
董監改選  ㄉㄨㄥˇㄐㄧㄢˉㄍㄞˇㄒㄩㄢˇ
獨立董事  ㄉㄨˊㄌㄧˋㄉㄨㄥˇㄕˋ
審計委員會  ㄕㄣˇㄐㄧˋㄨㄟˇㄩㄢˊㄏㄨㄟˋ
薪酬委員會  ㄒㄧㄣˉㄔㄡˊㄨㄟˇㄩㄢˊㄏㄨㄟˋ
永續發展委員會  ㄩㄥˇㄒㄩˋㄈㄚˉㄓㄢˇㄨㄟˇㄩㄢˊㄏㄨㄟˋ
碳足跡盤查  ㄊㄢˋㄗㄨˊㄐㄧˉㄆㄢˊㄔㄚˊ
減碳路徑  ㄐㄧㄢˇㄊㄢˋㄌㄨˋㄐㄧㄥˋ
再生能源憑證  ㄗㄞˋㄕㄥˉㄋㄥˊㄩㄢˊㄆㄧㄥˊㄓㄥˋ
內部稽核  ㄋㄟˋㄅㄨˋㄐㄧˉㄏㄜˊ
法令遵循  ㄈㄚˇㄌㄧㄥˋㄗㄨㄣˉㄒㄩㄣˊ
洗錢防制  ㄒㄧˇㄑㄧㄢˊㄈㄤˊㄓˋ
個資保護  ㄍㄜˋㄗˉㄅㄠˇㄏㄨˋ
資訊安全政策  ㄗˉㄒㄩㄣˋㄢˉㄑㄩㄢˊㄓㄥˋㄘㄜˋ
零信任架構  ㄌㄧㄥˊㄒㄧㄣˋㄖㄣˋㄐㄧㄚˋㄍㄡˋ
存取控制  ㄘㄨㄣˊㄑㄩˇㄎㄨㄥˋㄓˋ
權限最小化  ㄑㄩㄢˊㄒㄧㄢˋㄗㄨㄟˋㄒㄧㄠˇㄏㄨㄚˋ
資安弱點通報  ㄗˉㄢˉㄖㄨㄛˋㄉㄧㄢˇㄊㄨㄥˉㄅㄠˋ
社交工程演練  ㄕㄜˋㄐㄧㄠˉㄍㄨㄥˉㄔㄥˊㄧㄢˇㄌㄧㄢˋ
身分鑑別  ㄕㄣˉㄈㄣˋㄐㄧㄢˋㄅㄧㄝˊ
公鑰基礎設施  ㄍㄨㄥˉㄧㄠˋㄐㄧˉㄔㄨˇㄕㄜˋㄕˉ
憑證廢止清冊  ㄆㄧㄥˊㄓㄥˋㄈㄟˋㄓˇㄑㄧㄥˉㄘㄜˋ
負載均衡器  ㄈㄨˋㄗㄞˋㄐㄩㄣˉㄏㄥˊㄑㄧˋ
伺服器叢集  ㄙˋㄈㄨˊㄑㄧˋㄘㄨㄥˊㄐㄧˊ
容錯移轉  ㄖㄨㄥˊㄘㄨㄛˋㄧˊㄓㄨㄢˇ
異地備援  ㄧˋㄉㄧˋㄅㄟˋㄩㄢˊ
冷備援  ㄌㄥˇㄅㄟˋㄩㄢˊ
熱備援  ㄖㄜˋㄅㄟˋㄩㄢˊ
非破壞性檢驗  ㄈㄟˉㄆㄛˋㄏㄨㄞˋㄒㄧㄥˋㄐㄧㄢˇㄧㄢˋ
可靠度測試  ㄎㄜˇㄎㄠˋㄉㄨˋㄘㄜˋㄕˋ
環境耐受度  ㄏㄨㄢˊㄐㄧㄥˋㄋㄞˋㄕㄡˋㄉㄨˋ
落下測試  ㄌㄚˋㄒㄧㄚˋㄘㄜˋㄕˋ
震動測試  ㄓㄣˋㄉㄨㄥˋㄘㄜˋㄕˋ
溫濕度循環  ㄨㄣˉㄕˉㄉㄨˋㄒㄩㄣˊㄏㄨㄢˊ
電磁相容性  ㄉㄧㄢˋㄘˊㄒㄧㄤˉㄖㄨㄥˊㄒㄧㄥˋ
電氣安全規格  ㄉㄧㄢˋㄑㄧˋㄢˉㄑㄩㄢˊㄍㄨㄟˉㄍㄜˊ
安規認證  ㄢˉㄍㄨㄟˉㄖㄣˋㄓㄥˋ
射頻特性  ㄕㄜˋㄆㄧㄣˊㄊㄜˋㄒㄧㄥˋ
天線增益  ㄊㄧㄢˉㄒㄧㄢˋㄗㄥˉㄧˋ
發射功率  ㄈㄚˉㄕㄜˋㄍㄨㄥˉㄌㄩˋ
接收靈敏度  ㄐㄧㄝˉㄕㄡˉㄌㄧㄥˊㄇㄧㄣˇㄉㄨˋ
訊噪比  ㄒㄩㄣˋㄗㄠˋㄅㄧˇ
諧波干擾  ㄒㄧㄝˊㄅㄛˉㄍㄢˋㄖㄠˇ
電源漣波  ㄉㄧㄢˋㄩㄢˊㄌㄧㄢˊㄅㄛˉ
信號完整性  ㄒㄧㄣˋㄏㄠˋㄨㄢˊㄓㄥˇㄒㄧㄥˋ
多層印刷電路板  ㄉㄨㄛˉㄘㄥˊㄧㄣˋㄕㄨㄚˉㄉㄧㄢˋㄌㄨˋㄅㄢˇ
表面黏著技術  ㄅㄧㄠˇㄇㄧㄢˋㄋㄧㄢˊㄓㄨˋㄐㄧˋㄕㄨˋ
焊點檢驗  ㄏㄢˋㄉㄧㄢˇㄐㄧㄢˇㄧㄢˋ
飛針測試  ㄈㄟˉㄓㄣˉㄘㄜˋㄕˋ
基板翹曲  ㄐㄧˉㄅㄢˇㄑㄧㄠˋㄑㄩˉ
熱阻分析  ㄖㄜˋㄗㄨˇㄈㄣˉㄒㄧˉ
散熱鰭片  ㄙㄢˋㄖㄜˋㄑㄧˊㄆㄧㄢˋ
均溫板  ㄐㄩㄣˉㄨㄣˉㄅㄢˇ
導熱墊片  ㄉㄠˇㄖㄜˋㄉㄧㄢˋㄆㄧㄢˋ
液態軸承  ㄧㄝˋㄊㄞˋㄓㄡˊㄔㄥˊ
風扇轉速曲線  ㄈㄥˉㄕㄢˋㄓㄨㄢˇㄙㄨˋㄑㄩˉㄒㄧㄢˋ
靜壓風扇  ㄐㄧㄥˋㄧㄚˉㄈㄥˉㄕㄢˋ
系統功耗評估  ㄒㄧˋㄊㄨㄥˇㄍㄨㄥˉㄏㄠˋㄆㄧㄥˊㄍㄨˉ
電源轉換效率  ㄉㄧㄢˋㄩㄢˊㄓㄨㄢˇㄏㄨㄢˋㄒㄧㄠˋㄌㄩˋ
主動功因修正  ㄓㄨˇㄉㄨㄥˋㄍㄨㄥˉㄧㄣˉㄒㄧㄡˉㄓㄥˋ
低壓差穩壓器  ㄉㄧˉㄧㄚˉㄔㄚˋㄨㄣˇㄧㄚˉㄑㄧˋ
時脈產生器  ㄕˊㄇㄞˋㄔㄢˇㄕㄥˉㄑㄧˋ
鎖相迴路  ㄙㄨㄛˇㄒㄧㄤˉㄏㄨㄟˊㄌㄨˋ
串列週邊介面  ㄔㄨㄢˋㄌㄧㄝˋㄓㄡˉㄅㄧㄢˉㄐㄧㄝˋㄇㄧㄢˋ
通用序列匯流排  ㄊㄨㄥˉㄩㄥˋㄒㄩˋㄌㄧㄝˋㄏㄨㄟˋㄌㄧㄡˊㄆㄞˊ
高速乙太網路  ㄍㄠˉㄙㄨˋㄧˇㄊㄞˋㄨㄤˇㄌㄨˋ
光纖收發模組  ㄍㄨㄤˉㄒㄧㄢˉㄕㄡˉㄈㄚˉㄇㄛˊㄗㄨˇ
傳輸延遲量測  ㄔㄨㄢˊㄕㄨˉㄧㄢˊㄔˊㄌㄧㄤˋㄘㄜˋ
封包抖動率  ㄈㄥˉㄅㄠˉㄉㄡˇㄉㄨㄥˋㄌㄩˋ
頻寬聚合  ㄆㄧㄣˊㄎㄨㄢˉㄐㄩˋㄏㄜˊ
虛擬區域網路  ㄒㄩˉㄋㄧˇㄑㄩˉㄩˋㄨㄤˇㄌㄨˋ
軟體定義網路  ㄖㄨㄢˇㄊㄧˇㄉㄧㄥˋㄧˋㄨㄤˇㄌㄨˋ
多協定標籤交換  ㄉㄨㄛˉㄒㄧㄝˊㄉㄧㄥˋㄅㄧㄠˉㄑㄧㄢˉㄐㄧㄠˉㄏㄨㄢˋ
路由表查詢  ㄌㄨˋㄧㄡˊㄅㄧㄠˇㄔㄚˊㄒㄩㄣˊ
邊界閘道協定  ㄅㄧㄢˉㄐㄧㄝˋㄓㄚˊㄉㄠˋㄒㄧㄝˊㄉㄧㄥˋ
動態主機設定  ㄉㄨㄥˋㄊㄞˋㄓㄨˇㄐㄧˉㄕㄜˋㄉㄧㄥˋ
網域名稱解析  ㄨㄤˇㄩˋㄇㄧㄥˊㄔㄥˉㄐㄧㄝˇㄒㄧˉ
位址轉換協定  ㄨㄟˋㄓˇㄓㄨㄢˇㄏㄨㄢˋㄒㄧㄝˊㄉㄧㄥˋ
傳輸控制協定  ㄔㄨㄢˊㄕㄨˉㄎㄨㄥˋㄓˋㄒㄧㄝˊㄉㄧㄥˋ
資料報協定  ㄗˉㄌㄧㄠˋㄅㄠˋㄒㄧㄝˊㄉㄧㄥˋ
安全通訊協定  ㄢˉㄑㄩㄢˊㄊㄨㄥˉㄒㄩㄣˋㄒㄧㄝˊㄉㄧㄥˋ
檔案傳輸協定  ㄉㄤˇㄢˋㄔㄨㄢˊㄕㄨˉㄒㄧㄝˊㄉㄧㄥˋ
簡易郵件傳輸  ㄐㄧㄢˇㄧˋㄧㄡˊㄐㄧㄢˋㄔㄨㄢˊㄕㄨˉ
網路校時協定  ㄨㄤˇㄌㄨˋㄒㄧㄠˋㄕˊㄒㄧㄝˊㄉㄧㄥˋ
遠端桌面連線  ㄩㄢˇㄉㄨㄢˉㄓㄨㄛˉㄇㄧㄢˋㄌㄧㄢˊㄒㄧㄢˋ
安全外殼協定  ㄢˉㄑㄩㄢˊㄨㄞˋㄎㄜˊㄒㄧㄝˊㄉㄧㄥˋ
資料湖泊  ㄗˉㄌㄧㄠˋㄏㄨˊㄆㄛˉ
資料倉儲  ㄗˉㄌㄧㄠˋㄘㄤˉㄔㄨˇ
特徵工程  ㄊㄜˋㄓˇㄍㄨㄥˉㄔㄥˊ
維度縮減  ㄨㄟˊㄉㄨˋㄙㄨㄛˉㄐㄧㄢˇ
主成分分析  ㄓㄨˇㄔㄥˊㄈㄣˋㄈㄣˉㄒㄧˉ
協同過濾  ㄒㄧㄝˊㄊㄨㄥˊㄍㄨㄛˋㄌㄩˋ
推薦演算法  ㄊㄨㄟˉㄐㄧㄢˋㄧㄢˇㄙㄨㄢˋㄈㄚˇ
卷積神經網路  ㄐㄩㄢˇㄐㄧˉㄕㄣˊㄐㄧㄥˉㄨㄤˇㄌㄨˋ
遞歸神經網路  ㄉㄧˋㄍㄨㄟˉㄕㄣˊㄐㄧㄥˉㄨㄤˇㄌㄨˋ
長短期記憶  ㄓㄤˇㄉㄨㄢˇㄑㄧˉㄐㄧˋㄧˋ
自注意力機制  ㄗˋㄓㄨˋㄧˋㄌㄧˋㄐㄧˉㄓˋ
多頭注意力  ㄉㄨㄛˉㄊㄡˊㄓㄨˋㄧˋㄌㄧˋ
位置編碼  ㄨㄟˋㄓˋㄅㄧㄢˉㄇㄚˇ
詞嵌入向量  ㄘˊㄑㄧㄢˋㄖㄨˋㄒㄧㄤˋㄌㄧㄤˋ
微調模型  ㄨㄟˊㄉㄧㄠˋㄇㄛˊㄒㄧㄥˊ
量化推論  ㄌㄧㄤˋㄏㄨㄚˋㄊㄨㄟˉㄌㄨㄣˋ
張量運算  ㄓㄤˉㄌㄧㄤˋㄩㄣˋㄙㄨㄢˋ
浮點數運算能力  ㄈㄨˊㄉㄧㄢˇㄕㄨˋㄩㄣˋㄙㄨㄢˋㄋㄥˊㄌㄧˋ
算力加速晶片  ㄙㄨㄢˋㄌㄧˋㄐㄧㄚˉㄙㄨˋㄐㄧㄥˉㄆㄧㄢˋ
圖形處理器  ㄊㄨˊㄒㄧㄥˊㄔㄨˋㄌㄧˇㄑㄧˋ
張量處理單元  ㄓㄤˉㄌㄧㄤˋㄔㄨˋㄌㄧˇㄉㄢˉㄩㄢˊ
類神經處理單元  ㄌㄟˋㄕㄣˊㄐㄧㄥˉㄔㄨˋㄌㄧˇㄉㄢˉㄩㄢˊ
特定應用晶片  ㄊㄜˋㄉㄧㄥˋㄧㄥˉㄩㄥˋㄐㄧㄥˉㄆㄧㄢˋ
現場可程式化陣列  ㄒㄧㄢˋㄔㄤˇㄎㄜˇㄔㄥˊㄕˋㄏㄨㄚˋㄓㄣˋㄌㄧㄝˋ
硬體描述語言  ㄧㄥˋㄊㄧˇㄇㄧㄠˊㄕㄨˋㄩˇㄧㄢˊ
系統單晶片  ㄒㄧˋㄊㄨㄥˇㄉㄢˉㄐㄧㄥˉㄆㄧㄢˋ
封裝測試  ㄈㄥˉㄓㄨㄤˉㄘㄜˋㄕˋ
極紫外光微影  ㄐㄧˊㄗˇㄨㄞˋㄍㄨㄤˉㄨㄟˊㄧㄥˇ
製程節點  ㄓˋㄔㄥˊㄐㄧㄝˊㄉㄧㄢˇ
漏電流控制  ㄌㄡˋㄉㄧㄢˋㄌㄧㄡˊㄎㄨㄥˋㄓˋ
靜態隨機存取記憶體  ㄐㄧㄥˋㄊㄞˋㄙㄨㄟˊㄐㄧˉㄘㄨㄣˊㄑㄩˇㄐㄧˋㄧˋㄊㄧˇ
動態隨機存取記憶體  ㄉㄨㄥˋㄊㄞˋㄙㄨㄟˊㄐㄧˉㄘㄨㄣˊㄑㄩˇㄐㄧˋㄧˋㄊㄧˇ
非揮發性記憶體  ㄈㄟˉㄏㄨㄟˉㄈㄚˉㄒㄧㄥˋㄐㄧˋㄧˋㄊㄧˇ
快閃記憶體控制晶片  ㄎㄨㄞˋㄕㄢˇㄐㄧˋㄧˋㄊㄧˇㄎㄨㄥˋㄓˋㄐㄧㄥˉㄆㄧㄢˋ
磨損均衡演算法  ㄇㄛˊㄙㄨㄣˇㄐㄩㄣˉㄏㄥˊㄧㄢˇㄙㄨㄢˋㄈㄚˇ
壞軌修復  ㄏㄨㄞˋㄍㄨㄟˇㄒㄧㄡˉㄈㄨˋ
資料冗餘校驗  ㄗˉㄌㄧㄠˋㄖㄨㄥˇㄩˊㄒㄧㄠˋㄧㄢˋ
條帶化技術  ㄊㄧㄠˊㄉㄞˋㄏㄨㄚˋㄐㄧˋㄕㄨˋ
磁碟陣列卡  ㄘˊㄉㄧㄝˊㄓㄣˋㄌㄧㄝˋㄎㄚˇ
熱插拔硬碟  ㄖㄜˋㄔㄚˉㄅㄚˊㄧㄥˋㄉㄧㄝˊ
固態硬碟寫入壽命  ㄍㄨˋㄊㄞˋㄧㄥˋㄉㄧㄝˊㄒㄧㄝˇㄖㄨˋㄕㄡˋㄇㄧㄥˋ
隨機讀寫效能  ㄙㄨㄟˊㄐㄧˉㄉㄨˊㄒㄧㄝˇㄒㄧㄠˋㄋㄥˊ
連續傳輸率  ㄌㄧㄢˊㄒㄩˋㄔㄨㄢˊㄕㄨˉㄌㄩˋ
佇列深度  ㄓㄨˋㄌㄧㄝˋㄕㄣˉㄉㄨˋ
直接記憶體存取  ㄓˊㄐㄧㄝˉㄐㄧˋㄧˋㄊㄧˇㄘㄨㄣˊㄑㄩˇ
中斷處理常式  ㄓㄨㄥˉㄉㄨㄢˋㄔㄨˋㄌㄧˇㄔㄤˊㄕˋ
核心模組  ㄏㄜˊㄒㄧㄣˉㄇㄛˊㄗㄨˇ
驅動程式簽章  ㄑㄩˉㄉㄨㄥˋㄔㄥˊㄕˋㄑㄧㄢˉㄓㄤˉ
系統呼叫介面  ㄒㄧˋㄊㄨㄥˇㄏㄨˉㄐㄧㄠˋㄐㄧㄝˋㄇㄧㄢˋ
虛擬機器監控器  ㄒㄩˉㄋㄧˇㄐㄧˉㄑㄧˋㄐㄧㄢˉㄎㄨㄥˋㄑㄧˋ
容器引擎  ㄖㄨㄥˊㄑㄧˋㄧㄣˇㄑㄧㄥˊ
微服務治理  ㄨㄟˉㄈㄨˊㄨˋㄓˋㄌㄧˇ
服務網格  ㄈㄨˊㄨˋㄨㄤˇㄍㄜˊ
分散式追蹤  ㄈㄣˉㄙㄢˋㄕˋㄓㄨㄟˉㄗㄨㄥˉ
日誌收集器  ㄖˋㄓˋㄕㄡˉㄐㄧˊㄑㄧˋ
時序資料庫  ㄕˊㄒㄩˋㄗˉㄌㄧㄠˋㄎㄨˋ
鍵值儲存系統  ㄐㄧㄢˋㄓˊㄔㄨˇㄘㄨㄣˊㄒㄧˋㄊㄨㄥˇ
關聯式資料庫  ㄍㄨㄢˉㄌㄧㄢˊㄕˋㄗˉㄌㄧㄠˋㄎㄨˋ
物件導向程式設計  ㄨˋㄐㄧㄢˋㄉㄠˇㄒㄧㄤˋㄔㄥˊㄕˋㄕㄜˋㄐㄧˋ
函數式編程  ㄏㄢˊㄕㄨˋㄕˋㄅㄧㄢˉㄔㄥˊ
非同步非阻塞  ㄈㄟˉㄊㄨㄥˊㄅㄨˋㄈㄟˉㄗㄨˇㄙㄜˋ
並行處理模式  ㄅㄧㄥˋㄒㄧㄥˊㄔㄨˋㄌㄧˇㄇㄛˊㄕˋ
多執行緒安全  ㄉㄨㄛˉㄓˊㄒㄧㄥˊㄒㄩˋㄢˉㄑㄩㄢˊ
死結預防  ㄙˇㄐㄧㄝˊㄩˋㄈㄤˊ
競爭條件  ㄐㄧㄥˋㄓㄥˉㄊㄧㄠˊㄐㄧㄢˋ
記憶體洩漏  ㄐㄧˋㄧˋㄊㄧˇㄒㄧㄝˋㄌㄡˋ
記憶體區段錯誤  ㄐㄧˋㄧˋㄊㄧˇㄑㄩˉㄉㄨㄢˋㄘㄨㄛˋㄨˋ
堆疊溢位  ㄉㄨㄟˉㄉㄧㄝˊㄧˋㄨㄟˋ
指針運算  ㄓˇㄓㄣˉㄩㄣˋㄙㄨㄢˋ
垃圾回收機制  ㄌㄜˋㄙㄜˋㄏㄨㄟˊㄕㄡˉㄐㄧˉㄓˋ
編譯最佳化  ㄅㄧㄢˉㄧˋㄗㄨㄟˋㄐㄧㄚˉㄏㄨㄚˋ
靜態程式碼分析  ㄐㄧㄥˋㄊㄞˋㄔㄥˊㄕˋㄇㄚˇㄈㄣˉㄒㄧˉ
代碼覆蓋率  ㄉㄞˋㄇㄚˇㄈㄨˋㄍㄞˋㄌㄩˋ
回歸測試套件  ㄏㄨㄟˊㄍㄨㄟˉㄘㄜˋㄕˋㄊㄠˋㄐㄧㄢˋ
自動化整合測試  ㄗˋㄉㄨㄥˋㄏㄨㄚˋㄓㄥˇㄏㄜˊㄘㄜˋㄕˋ
持續監控平台  ㄔˊㄒㄩˋㄐㄧㄢˉㄎㄨㄥˋㄆㄧㄥˊㄊㄞˊ
監控警報規則  ㄐㄧㄢˉㄎㄨㄥˋㄐㄧㄥˇㄅㄠˋㄍㄨㄟˉㄗㄜˊ
閾值觸發  ㄩˋㄓˊㄔㄨˋㄈㄚˉ
自動擴展機制  ㄗˋㄉㄨㄥˋㄎㄨㄛˋㄓㄢˇㄐㄧˉㄓˋ
彈性計算資源  ㄉㄢˋㄒㄧㄥˋㄐㄧˋㄙㄨㄢˋㄗˉㄩㄢˊ
雲原生應用  ㄩㄣˊㄩㄢˊㄕㄥˉㄧㄥˉㄩㄥˋ
無伺服器架構  ㄨˊㄙˋㄈㄨˊㄑㄧˋㄐㄧㄚˋㄍㄡˋ
事件驅動架構  ㄕˋㄐㄧㄢˋㄑㄩˉㄉㄨㄥˋㄐㄧㄚˋㄍㄡˋ
訊息佇列代理  ㄒㄩㄣˋㄒㄧˊㄓㄨˋㄌㄧㄝˋㄉㄞˋㄌㄧˇ
訂閱發布模式  ㄉㄧㄥˋㄩㄝˋㄈㄚˉㄅㄨˋㄇㄛˊㄕˋ
資料序列化  ㄗˉㄌㄧㄠˋㄒㄩˋㄌㄧㄝˋㄏㄨㄚˋ
遠端程序呼叫  ㄩㄢˇㄉㄨㄢˉㄔㄥˊㄒㄩˋㄏㄨˉㄐㄧㄠˋ
應用程式介面閘道  ㄧㄥˉㄩㄥˋㄔㄥˊㄕˋㄐㄧㄝˋㄇㄧㄢˋㄓㄚˊㄉㄠˋ
限流降級  ㄒㄧㄢˋㄌㄧㄡˊㄐㄧㄤˋㄐㄧˊ
熔斷機制  ㄖㄨㄥˊㄉㄨㄢˋㄐㄧˉㄓˋ
超時重試  ㄔㄠˉㄕˊㄓㄨㄥˋㄕˋ
冪等性設計  ㄇㄧˋㄉㄥˇㄒㄧㄥˋㄕㄜˋㄐㄧˋ
分散式鎖  ㄈㄣˉㄙㄢˋㄕˋㄙㄨㄛˇ
最終一致性  ㄗㄨㄟˋㄓㄨㄥˉㄧˊㄓˋㄒㄧㄥˋ
酸性交易特性  ㄙㄨㄢˉㄒㄧㄥˋㄐㄧㄠˉㄧˋㄊㄜˋㄒㄧㄥˋ
分散式交易補償  ㄈㄣˉㄙㄢˋㄕˋㄐㄧㄠˉㄧˋㄅㄨˇㄔㄤˊ
日誌先行寫入  ㄖˋㄓˋㄒㄧㄢˉㄒㄧㄥˊㄒㄧㄝˇㄖㄨˋ
讀寫分離  ㄉㄨˊㄒㄧㄝˇㄈㄣˉㄌㄧˊ
資料庫分片  ㄗˉㄌㄧㄠˋㄎㄨˋㄈㄣˉㄆㄧㄢˋ
索引最佳化  ㄙㄨㄛˇㄧㄣˇㄗㄨㄟˋㄐㄧㄚˉㄏㄨㄚˋ
全文檢索引擎  ㄑㄩㄢˊㄨㄣˊㄐㄧㄢˇㄙㄨㄛˇㄧㄣˇㄑㄧㄥˊ
語義相似度  ㄩˇㄧˋㄒㄧㄤˉㄙˋㄉㄨˋ
餘弦相似度  ㄩˊㄒㄧㄢˊㄒㄧㄤˉㄙˋㄉㄨˋ
嵌入式向量搜尋  ㄑㄧㄢˋㄖㄨˋㄕˋㄒㄧㄤˋㄌㄧㄤˋㄙㄡˉㄒㄩㄣˊ
知識圖譜構建  ㄓˉㄕˋㄊㄨˊㄆㄨˇㄍㄡˋㄐㄧㄢˋ
本體論模型  ㄅㄣˇㄊㄧˇㄌㄨㄣˋㄇㄛˊㄒㄧㄥˊ
提示詞工程  ㄊㄧˊㄕˋㄘˊㄍㄨㄥˉㄔㄥˊ
少樣本學習  ㄕㄠˇㄧㄤˋㄅㄣˇㄒㄩㄝˊㄒㄧˊ
零樣本推論  ㄌㄧㄥˊㄧㄤˋㄅㄣˇㄊㄨㄟˉㄌㄨㄣˋ
模型幻覺抑制  ㄇㄛˊㄒㄧㄥˊㄏㄨㄢˋㄐㄩㄝˊㄧˋㄓˋ
思維鏈推理  ㄙˉㄨㄟˊㄌㄧㄢˋㄊㄨㄟˉㄌㄧˇ
檢索增強生成  ㄐㄧㄢˇㄙㄨㄛˇㄗㄥˉㄑㄧㄤˊㄕㄥˉㄔㄥˊ
上下文長度擴展  ㄕㄤˋㄒㄧㄚˋㄨㄣˊㄓㄤˇㄉㄨˋㄎㄨㄛˋㄓㄢˇ
混合專家模型  ㄏㄨㄣˋㄏㄜˊㄓㄨㄢˉㄐㄧㄚˉㄇㄛˊㄒㄧㄥˊ
模型蒸餾技術  ㄇㄛˊㄒㄧㄥˊㄓㄥˉㄌㄧㄡˋㄐㄧˋㄕㄨˋ
對齊人類偏好  ㄉㄨㄟˋㄑㄧˊㄖㄣˊㄌㄟˋㄆㄧㄢˉㄏㄠˇ
強化學習回饋  ㄑㄧㄤˊㄏㄨㄚˋㄒㄩㄝˊㄒㄧˊㄏㄨㄟˊㄎㄨㄟˋ
直接偏好最佳化  ㄓˊㄐㄧㄝˉㄆㄧㄢˉㄏㄠˇㄗㄨㄟˋㄐㄧㄚˉㄏㄨㄚˋ
標註資料清洗  ㄅㄧㄠˉㄓㄨˋㄗˉㄌㄧㄠˋㄑㄧㄥˉㄒㄧˇ
評估指標基準  ㄆㄧㄥˊㄍㄨˉㄓˇㄅㄧㄠˉㄐㄧˉㄓㄨㄣˇ
基準評測流程  ㄐㄧˉㄓㄨㄣˇㄆㄧㄥˊㄘㄜˋㄌㄧㄡˊㄔㄥˊ
推論延遲評估  ㄊㄨㄟˉㄌㄨㄣˋㄧㄢˊㄔˊㄆㄧㄥˊㄍㄨˉ
首字生成時間  ㄕㄡˇㄗˋㄕㄥˉㄔㄥˊㄕˊㄐㄧㄢˉ
每秒字元產出  ㄇㄟˇㄇㄧㄠˇㄗˋㄩㄢˊㄔㄢˇㄔㄨˉ
長文本理解力  ㄓㄤˇㄨㄣˊㄅㄣˇㄌㄧˇㄐㄧㄝˇㄌㄧˋ
多模態對話  ㄉㄨㄛˉㄇㄛˊㄊㄞˋㄉㄨㄟˋㄏㄨㄚˋ
語音辨識轉錄  ㄩˇㄧㄣˉㄅㄧㄢˋㄕˋㄓㄨㄢˇㄌㄨˋ
語音合成引擎  ㄩˇㄧㄣˉㄏㄜˊㄔㄥˊㄧㄣˇㄑㄧㄥˊ
文字轉語音模組  ㄨㄣˊㄗˋㄓㄨㄢˇㄩˇㄧㄣˉㄇㄛˊㄗㄨˇ
電腦視覺辨識  ㄉㄧㄢˋㄋㄠˇㄕˋㄐㄩㄝˊㄅㄧㄢˋㄕˋ
物件偵測標註  ㄨˋㄐㄧㄢˋㄓㄣˉㄘㄜˋㄅㄧㄠˉㄓㄨˋ
語義分割網路  ㄩˇㄧˋㄈㄣˉㄍㄜˉㄨㄤˇㄌㄨˋ
人臉特徵比對  ㄖㄣˊㄌㄧㄢˇㄊㄜˋㄓˇㄅㄧˇㄉㄨㄟˋ
姿態估計演算法  ㄗˉㄊㄞˋㄍㄨˉㄐㄧˋㄧㄢˇㄙㄨㄢˋㄈㄚˇ
光學字元辨識  ㄍㄨㄤˉㄒㄩㄝˊㄗˋㄩㄢˊㄅㄧㄢˋㄕˋ
文件結構化解析  ㄨㄣˊㄐㄧㄢˋㄐㄧㄝˊㄍㄡˋㄏㄨㄚˋㄐㄧㄝˇㄒㄧˉ
異常行為檢測  ㄧˋㄔㄤˊㄒㄧㄥˊㄨㄟˋㄐㄧㄢˇㄘㄜˋ
智慧邊緣運算模組  ㄓˋㄏㄨㄟˋㄅㄧㄢˉㄩㄢˊㄩㄣˋㄙㄨㄢˋㄇㄛˊㄗㄨˇ
感測器融合  ㄍㄢˇㄘㄜˋㄑㄧˋㄖㄨㄥˊㄏㄜˊ
慣性測量單元  ㄍㄨㄢˋㄒㄧㄥˋㄘㄜˋㄌㄧㄤˋㄉㄢˉㄩㄢˊ
微機電感測器  ㄨㄟˊㄐㄧˉㄉㄧㄢˋㄍㄢˇㄘㄜˋㄑㄧˋ
環境溫濕度感測  ㄏㄨㄢˊㄐㄧㄥˋㄨㄣˉㄕˉㄉㄨˋㄍㄢˇㄘㄜˋ
氣壓高度計  ㄑㄧˋㄧㄚˉㄍㄠˉㄉㄨˋㄐㄧˋ
全球定位系統  ㄑㄩㄢˊㄑㄧㄡˊㄉㄧㄥˋㄨㄟˋㄒㄧˋㄊㄨㄥˇ
差分定位技術  ㄔㄚˉㄈㄣˉㄉㄧㄥˋㄨㄟˋㄐㄧˋㄕㄨˋ
高精地圖圖資  ㄍㄠˉㄐㄧㄥˉㄉㄧˋㄊㄨˊㄊㄨˊㄗˉ
路徑規劃演算法  ㄌㄨˋㄐㄧㄥˋㄍㄨㄟˉㄏㄨㄚˋㄧㄢˇㄙㄨㄢˋㄈㄚˇ
